Screened References,Results_0,Results_1,Results_2,Results_3,Results_4,Results_5,Results_6,Results_7,Results_8,Results_9,Results_10,Results_11,Results_12,Results_13,Results_14
4160,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4170,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4180,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4190,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4200,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4210,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4220,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4230,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4240,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4250,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4260,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4270,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4280,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4290,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4300,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4310,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4320,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4330,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4340,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4350,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4360,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4370,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4380,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4390,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4400,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4410,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4420,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4430,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4440,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4450,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4460,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4470,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4480,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4490,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4500,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4510,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4520,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4530,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4540,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4550,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4560,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4570,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4580,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4590,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4600,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4610,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4620,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4630,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4640,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4650,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4660,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4670,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4680,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4690,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4700,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4710,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4720,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4730,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4740,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4750,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4760,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4770,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4780,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4790,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4800,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4810,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4820,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4830,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4840,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4850,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4860,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4870,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4880,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4890,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4900,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4910,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4920,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4930,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4940,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4950,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4960,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4970,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4980,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4990,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5000,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5010,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5020,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5030,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5040,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5050,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5060,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5070,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5080,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5090,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5110,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5120,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5130,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5140,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5150,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5160,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5170,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5180,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5190,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5200,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5210,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5220,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5230,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5240,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5250,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5260,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5270,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5280,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5290,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5300,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5310,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5320,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5330,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5340,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5350,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5360,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5370,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5380,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5390,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5400,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5410,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5420,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5430,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5440,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5450,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5460,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5470,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5480,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5490,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5500,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5510,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5520,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5530,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5540,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5550,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5560,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5570,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5580,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5590,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5600,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5610,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5620,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5630,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5640,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5650,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5660,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5670,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5680,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5690,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5700,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5710,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5720,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5730,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5740,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5750,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5760,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5770,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5780,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5790,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5800,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5810,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5820,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5830,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5840,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5850,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5860,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5870,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5880,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5890,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5900,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5910,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5920,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5930,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5940,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5950,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5960,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5970,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5980,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5990,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6000,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6010,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6020,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6030,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6040,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6050,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6060,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6070,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6080,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6090,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6110,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6120,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6130,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6140,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6150,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6160,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6170,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6180,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6190,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6200,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6210,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6220,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6230,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6240,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6250,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6260,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6270,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6280,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6290,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6300,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6310,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6320,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
6330,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
