Last Include,WSS@50r,WSS@75r,WSS@90r,WSS@95r,nWSS@50r,nWSS@75r,nWSS@90r,nWSS@95r,precision@50%,precision@75%,precision@90%,precision@95%,recall@50%,recall@75%,recall@90%,recall@95%
35.77922078,0.469350649,0.66,0.712467532,0.734025974,0.97628146,0.919752273,0.822901568,0.794834629,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
35.20779221,0.467142857,0.664155844,0.746363636,0.713376623,0.974041376,0.923968902,0.857293451,0.773883252,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
37.96103896,0.462077922,0.666233766,0.724285714,0.727662338,0.968902359,0.926077217,0.834892608,0.788377915,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
36.93506494,0.460909091,0.656623377,0.719480519,0.715324675,0.967716432,0.916326262,0.83001713,0.775859797,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
39.50649351,0.472597403,0.667922078,0.728311688,0.733116883,0.979575702,0.927790223,0.838977467,0.793912241,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
38.62337662,0.469350649,0.655974026,0.722207792,0.728961039,0.97628146,0.915667413,0.832784293,0.789695612,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
37.7012987,0.46987013,0.673116883,0.754935065,0.742727273,0.976808539,0.933061009,0.865990249,0.803663197,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
37.79220779,0.472467532,0.665324675,0.729350649,0.708181818,0.979443932,0.925154829,0.840031625,0.768612465,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
40.87012987,0.457012987,0.661298701,0.743376623,0.719350649,0.963763342,0.92106997,0.854262749,0.779944657,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
35.81818182,0.472207792,0.675064935,0.743636364,0.751948052,0.979180393,0.935037554,0.854526288,0.813018843,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
35.74025974,0.461428571,0.653766234,0.743896104,0.731558442,0.96824351,0.913427329,0.854789827,0.792331005,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
37.06493506,0.466753247,0.656233766,0.743506494,0.736103896,0.973646067,0.915930953,0.854394518,0.796942944,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
37.76623377,0.47025974,0.658571429,0.743116883,0.725454545,0.977203848,0.918302807,0.853999209,0.786137831,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
38.45454545,0.477662338,0.656363636,0.746883117,0.715844156,0.984714719,0.916062722,0.85782053,0.776386876,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
38.53246753,0.460909091,0.664155844,0.753246753,0.752077922,0.967716432,0.923968902,0.864277243,0.813150613,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
,,,,,,,,,,,,,,,,
37.58354978,0.467333333,0.662320346,0.737004329,0.729047619,0.974234638,0.922106558,0.84779725,0.789783459,0.028831169,0.019220779,0.016017316,0.015174299,1,1,1,1
