Last Include,WSS@50r,WSS@75r,WSS@90r,WSS@95r,nWSS@50r,nWSS@75r,nWSS@90r,nWSS@95r,precision@50%,precision@75%,precision@90%,precision@95%,recall@50%,recall@75%,recall@90%,recall@95%
6.720250056,0.483701719,0.726334003,0.867180174,0.904454119,0.989385727,0.984869015,0.977190605,0.964995483,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
29.53784327,0.489283322,0.729906229,0.855123912,0.887932574,0.995031617,0.988482385,0.964995483,0.94828365,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
26.79169457,0.490846171,0.727450324,0.85557044,0.893514177,0.996612466,0.985998193,0.965447154,0.953929539,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
31.54722036,0.489283322,0.729682965,0.870975664,0.903337799,0.995031617,0.988256549,0.98102981,0.963866305,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
27.97499442,0.489060058,0.730576021,0.861598571,0.897086403,0.994805781,0.989159892,0.971544715,0.957542909,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
28.71176602,0.487943737,0.730129493,0.869636079,0.884806877,0.993676603,0.98870822,0.979674797,0.945121951,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
7.211431123,0.48861353,0.729682965,0.870305872,0.892174593,0.99435411,0.988256549,0.980352304,0.952574526,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
29.4038848,0.491515963,0.731692342,0.864947533,0.911375307,0.997289973,0.99028907,0.974932249,0.971996387,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
25.83165885,0.48861353,0.729459701,0.871868721,0.89797946,0.99435411,0.988030714,0.981933153,0.958446251,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
26.74704175,0.490176379,0.726557267,0.859142666,0.894630498,0.995934959,0.985094851,0.969060524,0.955058717,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
30.877428,0.489283322,0.731469078,0.866510382,0.890165215,0.995031617,0.990063234,0.976513098,0.950542005,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
29.51551686,0.490622907,0.731469078,0.868296495,0.891281536,0.996386631,0.990063234,0.978319783,0.951671183,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
26.74704175,0.487943737,0.722761777,0.856910025,0.888155838,0.993676603,0.981255646,0.966802168,0.948509485,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
6.742576468,0.490176379,0.728120116,0.866063854,0.893960706,0.995934959,0.9866757,0.976061427,0.95438121,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
25.51908908,0.486380889,0.72722706,0.85289127,0.894853762,0.992095754,0.985772358,0.962737127,0.955284553,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
,,,,,,,,,,,,,,,,
23.99196249,0.488896331,0.728834561,0.863801444,0.895047258,0.994640169,0.987398374,0.97377296,0.955480277,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
8.71536428,0.001874119,0.002353222,0.006188279,0.006780208,0.001895704,0.002380326,0.006259554,0.0068583,6.93889E-18,5.20417E-18,1.73472E-18,1.73472E-18,0,0,0,0
