Last Include,WSS@50r,WSS@75r,WSS@90r,WSS@95r,nWSS@50r,nWSS@75r,nWSS@90r,nWSS@95r,precision@50%,precision@75%,precision@90%,precision@95%,recall@50%,recall@75%,recall@90%,recall@95%
18.99977674,0.448649252,0.685923197,0.794842599,0.826311677,0.953929539,0.943992773,0.904019874,0.885953026,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
55.81603036,0.449765573,0.686146461,0.809578031,0.803092208,0.955058717,0.944218609,0.918925023,0.862466125,0.022331398,0.01518309,0.012651947,0.011985899,0.980392157,1,1,1
57.1779415,0.447309667,0.670517973,0.80734539,0.837698147,0.952574526,0.928410117,0.916666667,0.897470641,0.022331398,0.01518309,0.012651947,0.011985899,0.980392157,1,1,1
54.85599464,0.441728064,0.677662425,0.809131503,0.843503014,0.946928636,0.935636856,0.918473351,0.903342367,0.022331398,0.01518309,0.012651947,0.011985899,0.980392157,1,1,1
33.86916722,0.448649252,0.685030141,0.817169011,0.851540522,0.953929539,0.943089431,0.926603433,0.911472448,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
44.25094887,0.44530029,0.669178388,0.803996428,0.824972092,0.950542005,0.927055104,0.913279133,0.884598013,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
58.94172806,0.448872516,0.664043313,0.799754409,0.836581826,0.954155375,0.921860885,0.908988257,0.896341463,0.022331398,0.01518309,0.012651947,0.011985899,0.980392157,1,1,1
55.83835678,0.450881893,0.67252735,0.80846171,0.844842599,0.956187895,0.930442638,0.917795845,0.90469738,0.022331398,0.01518309,0.012651947,0.011985899,0.980392157,1,1,1
40.54476446,0.451105157,0.683690556,0.809354767,0.852880107,0.956413731,0.941734417,0.918699187,0.912827462,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
41.08059835,0.447532931,0.681681179,0.813820049,0.852656843,0.952800361,0.939701897,0.923215899,0.912601626,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
58.87474883,0.444853762,0.659354767,0.797745032,0.8330096,0.950090334,0.917118338,0.906955736,0.892728094,0.022331398,0.01518309,0.012651947,0.011985899,0.980392157,1,1,1
40.96896629,0.443960706,0.666945747,0.809131503,0.84327975,0.949186992,0.924796748,0.918473351,0.903116531,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
40.94663987,0.449542309,0.685030141,0.826099576,0.853103371,0.954832882,0.943089431,0.935636856,0.913053297,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
46.95244474,0.449319044,0.67252735,0.808015182,0.843056486,0.954607046,0.930442638,0.917344173,0.902890696,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
14.24425095,0.432127707,0.659578031,0.806452333,0.841716901,0.937217706,0.917344173,0.915763324,0.901535682,0.022778026,0.01518309,0.012651947,0.011985899,1,1,1,1
,,,,,,,,,,,,,,,,
,,,,0.839216343,0.951897019,0.932595604,0.917389341,0.899006323,,,,,,,,
